1 ,Alfie    ,Jackson   ,7 ,male  ,01 ,Brodie ,Wilkins ,37,female,298-116-3146,BrodieWilkins@hereitis.com ,106 Mass Ave
2 ,Ewan     ,Lloyd     ,26,male  ,11 ,Oscar  ,Atkinson,39,female,450-662-7544,OscarAtkinson@hereitis.com ,1686 Mass Ave
3 ,Edward   ,Hamilton  ,44,female,21 ,Avery  ,Haley   ,22,male  ,537-674-8866,AveryHaley@hereitis.com    ,293 Mass Ave
4 ,Sebastian,Shaw      ,10,male  ,31 ,Triston,Shields ,27,female,509-308-6310,TristonShields@hereitis.com,5519 Mass Ave
5 ,Jamie    ,Grant     ,68,female,41 ,Vicente,Weaver  ,37,male  ,409-693-4489,VicenteWeaver@hereitis.com ,426 Mass Ave
6 ,Finley   ,Pennington,47,male  ,51 ,Vicente,Weaver  ,26,female,766-686-6930,VicenteWeaver@hereitis.com ,1554 Mass Ave
7 ,Brodie   ,Wilkins   ,29,male  ,61 ,Alfie  ,Jackson ,37,female,966-403-2611,AlfieJackson@hereitis.com  ,4657 Mass Ave
8 ,Rylen    ,Chavez    ,38,male  ,71 ,Weston ,Cantrell,37,female,907-458-2055,WestonCantrell@hereitis.com,279 Mass Ave
9 ,Ryan     ,Davis     ,67,female,81 ,Oscar  ,Atkinson,22,male  ,876-67-2165 ,OscarAtkinson@hereitis.com ,4226 Mass Ave
10,Finley   ,Pennington,63,female,91 ,Archie ,Rogers  ,20,male  ,894-298-6579,ArchieRogers@hereitis.com  ,263 Mass Ave
11,Weston   ,Cantrell  ,32,male  ,101,Toby   ,Owen    ,21,female,792-778-4067,TobyOwen@hereitis.com      ,4679 Mass Ave
12,Triston  ,Shields   ,35,male  ,111,Carl   ,Perkins ,35,female,739-778-5513,CarlPerkins@hereitis.com   ,6154 Mass Ave
13,Ewan     ,Lloyd     ,18,female,121,Ryan   ,Davis   ,25,male  ,207-188-6962,RyanDavis@hereitis.com     ,6151 Mass Ave
14,Ruben    ,Chavez    ,33,male  ,131,Avery  ,Haley   ,33,female,755-320-7445,AveryHaley@hereitis.com    ,3609 Mass Ave
15,Jamie    ,Grant     ,21,male  ,141,Ruben  ,Chavez  ,32,female,360-600-8142,RubenChavez@hereitis.com   ,3179 Mass Ave
16,Enzo     ,Gonzales  ,15,male  ,151,Dylan  ,Stevens ,31,female,867-750-838 ,DylanStevens@hereitis.com  ,7516 Mass Ave
17,Toby     ,Owen      ,68,male  ,161,Archie ,Rogers  ,30,female,897-850-7955,ArchieRogers@hereitis.com  ,9372 Mass Ave
18,Rylen    ,Chavez    ,10,female,171,Edward ,Hamilton,20,male  ,806-303-5662,EdwardHamilton@hereitis.com,6332 Mass Ave
19,Sebastian,Shaw      ,26,female,181,Dylan  ,Stevens ,32,male  ,622-591-943 ,DylanStevens@hereitis.com  ,2386 Mass Ave
20,Carl     ,Perkins   ,65,male  ,191,Enzo   ,Gonzales,28,female,593-233-3883,EnzoGonzales@hereitis.com  ,3170 Mass Ave
